user_id,skill_name,avg_score,attempts
21432,Similar Figures,1.0,1
21825,Circle Graph,0.6666666666666666,3
21825,Equivalent Fractions,1.0,2
21825,Mean,0.8,5
21825,Median,0.3333333333333333,3
21825,Multiplication and Division Integers,1.0,8
21825,Percent Of,0.0,1
21825,Stem and Leaf Plot,1.0,1
21825,Table,0.5714285714285714,7
26787,Addition and Subtraction Fractions,1.0,12
26787,Addition and Subtraction Integers,1.0,27
26787,Addition and Subtraction Positive Decimals,1.0,6
26787,Circle Graph,1.0,1
26787,Circumference,0.6666666666666666,3
26787,Congruence,1.0,1
26787,Conversion of Fraction Decimals Percents,0.5,4
26787,Division Fractions,1.0,5
26787,Estimation,1.0,1
26787,Finding Percents,0.8,5
26787,Multiplication Fractions,1.0,5
26787,Multiplication Whole Numbers,1.0,3
26787,Multiplication and Division Integers,1.0,15
26787,Multiplication and Division Positive Decimals,0.75,8
26787,Nets of 3D Figures,1.0,1
26787,Ordering Fractions,1.0,8
26787,Ordering Positive Decimals,0.9,10
26787,Percent Increase or Decrease,0.75,4
26787,Percent Of,1.0,5
26787,Perimeter of a Polygon,1.0,2
26787,Similar Figures,1.0,2
26787,Sum of Interior Angles Figures with more than 3 sides,1.0,2
26787,Sum of Interior Angles Triangle,1.0,1
26787,Supplementary Angles,1.0,1
34037,Addition and Subtraction Positive Decimals,1.0,4
34037,Estimation,1.0,4
34037,Multiplication and Division Positive Decimals,0.6666666666666666,3
51950,Number Line,0.0,1
52574,Circle Graph,0.0,2
52574,Finding Percents,0.0,2
52574,Perimeter of a Polygon,0.3333333333333333,3
52613,Addition and Subtraction Positive Decimals,0.0,1
52613,Exponents,1.0,1
53005,Box and Whisker,0.6666666666666666,3
53005,Histogram as Table or Graph,0.75,4
53005,Range,1.0,2
53005,Table,1.0,1
53167,Absolute Value,0.8333333333333334,6
53167,Addition Whole Numbers,1.0,12
53167,Addition and Subtraction Fractions,0.7,10
53167,Addition and Subtraction Integers,0.9,10
53167,Addition and Subtraction Positive Decimals,0.5714285714285714,7
53167,Area Circle,0.0,1
53167,Circumference,0.5,6
53167,Congruence,1.0,2
53167,Conversion of Fraction Decimals Percents,0.8,10
53167,Divisibility,0.6363636363636364,11
53167,Division Fractions,0.75,4
53167,Estimation,0.0,3
53167,Exponents,1.0,2
53167,Finding Fractions and Ratio,0.3333333333333333,6
53167,Finding Percents,0.0,1
53167,Fraction Of,1.0,1
53167,Least Common Multiple,0.75,8
53167,Mean,0.0,1
53167,Median,0.5,4
53167,Mode,1.0,4
53167,Multiplication Fractions,1.0,1
53167,Multiplication Whole Numbers,0.6666666666666666,3
53167,Multiplication and Division Integers,0.9090909090909091,11
53167,Multiplication and Division Positive Decimals,0.75,4
53167,Nets of 3D Figures,1.0,2
53167,Ordering Fractions,1.0,9
53167,Ordering Integers,0.6363636363636364,11
53167,Ordering Positive Decimals,1.0,6
53167,Ordering Real Numbers,0.42857142857142855,7
53167,Pattern Finding,0.5,2
53167,Percent Of,0.6666666666666666,6
53167,Perimeter of a Polygon,1.0,1
53167,Prime Number,1.0,1
53167,Probability Simple,0.75,4
53167,Proportion,0.625,8
53167,Pythagorean Theorem,1.0,1
53167,Range,0.8333333333333334,6
53167,Rounding,1.0,2
53167,Scatter Plot,0.6,5
53167,Scientific Notation,0.8,5
53167,Similar Figures,0.7777777777777778,9
53167,Square Root,0.5625,16
53167,Subtraction Whole Numbers,0.5,2
53167,Supplementary Angles,0.6,5
53167,Table,0.8125,16
53167,Unit Conversion Within a System,0.5,6
53167,Unit Rate,0.0,1
53221,Addition and Subtraction Integers,0.0,2
53221,Divisibility,0.0,4
53221,Division Whole Numbers,0.5,2
53221,Multiplication Whole Numbers,0.5,2
53221,Multiplication and Division Positive Decimals,0.0,2
53221,Ordering Whole Numbers,1.0,1
53221,Parallel and Perpendicular Lines,0.0,1
53221,Proportion,0.2,5
53221,Range,0.3333333333333333,3
53221,Stem and Leaf Plot,0.0,3
53221,Substitution,0.3333333333333333,3
53221,Subtraction Whole Numbers,1.0,1
53221,Table,1.0,1
53221,Unit Rate,0.0,1
53748,Conversion of Fraction Decimals Percents,1.0,1
53748,Equivalent Fractions,1.0,1
53748,Finding Fractions and Ratio,1.0,1
53748,Finding Percents,1.0,2
53748,Fraction Of,1.0,1
53748,Ordering Fractions,1.0,1
53748,Ordering Positive Decimals,1.0,1
55165,Circle Graph,0.6666666666666666,3
55165,Equivalent Fractions,0.5,2
55165,Estimation,0.5,2
55165,Histogram as Table or Graph,0.25,4
55165,Mean,0.6,10
55165,Median,0.42857142857142855,7
55165,Mode,1.0,2
55165,Ordering Whole Numbers,1.0,1
55165,Proportion,0.5,2
55165,Pythagorean Theorem,1.0,1
55165,Range,1.0,1
55165,Scatter Plot,1.0,2
55165,Stem and Leaf Plot,1.0,2
55165,Venn Diagram,1.0,1
56325,Box and Whisker,1.0,3
56325,Circle Graph,0.75,4
56325,Estimation,1.0,1
56325,Finding Percents,0.0,2
56325,Graph Shape,0.0,1
56325,Histogram as Table or Graph,0.8,5
56325,Median,1.0,1
56325,Ordering Integers,1.0,1
56325,Perimeter of a Polygon,0.75,4
56325,Probability Simple,1.0,1
56325,Properties and Classification Triangles,1.0,1
56325,Proportion,1.0,1
56325,Pythagorean Theorem,1.0,1
56325,Range,1.0,2
56325,Square Root,1.0,1
56325,Table,1.0,2
56965,Mean,0.0,2
56965,Median,0.0,2
56965,Mode,0.0,1
56965,Range,0.0,1
58033,Geometric Definitions,0.0,1
58033,Histogram as Table or Graph,0.0,1
58033,Line of Best-Fit,0.25,4
58033,Mean,0.0,3
58033,Median,0.0,3
58033,Mode,0.0,2
58033,Proportion,1.0,1
58033,Pythagorean Theorem,0.21428571428571427,14
58033,Range,0.0,4
58033,Stem and Leaf Plot,0.0,4
58033,Transformation,0.6666666666666666,6
58033,Venn Diagram,0.5,2
58161,Equation Solving More Than Two Steps,0.4,10
59968,Proportion,0.0,1
61394,Equation Solving More Than Two Steps,0.6666666666666666,3
63205,Multiplication and Division Integers,1.0,1
64525,Absolute Value,1.0,4
64525,Addition Whole Numbers,1.0,15
64525,Addition and Subtraction Fractions,1.0,8
64525,Addition and Subtraction Integers,1.0,10
64525,Addition and Subtraction Positive Decimals,0.7692307692307693,13
64525,Area Circle,1.0,1
64525,Box and Whisker,1.0,2
64525,Circle Graph,0.8461538461538461,13
64525,Circumference,1.0,3
64525,Congruence,1.0,3
64525,Conversion of Fraction Decimals Percents,0.8666666666666667,15
64525,Counting Methods,0.8,10
64525,Divisibility,0.75,32
64525,Division Fractions,1.0,2
64525,Equivalent Fractions,0.75,8
64525,Estimation,0.8235294117647058,17
64525,Exponents,1.0,4
64525,Finding Fractions and Ratio,1.0,2
64525,Finding Percents,0.5909090909090909,22
64525,Finding y-intercept from Linear Situation,1.0,1
64525,Histogram as Table or Graph,1.0,1
64525,Least Common Multiple,0.9,10
64525,Linear Area Volume Conversion,0.5,6
64525,Mean,1.0,3
64525,Median,1.0,5
64525,Mode,1.0,3
64525,Multiplication Fractions,1.0,5
64525,Multiplication and Division Integers,1.0,15
64525,Multiplication and Division Positive Decimals,1.0,3
64525,Nets of 3D Figures,1.0,1
64525,Ordering Fractions,1.0,15
64525,Ordering Integers,0.7435897435897436,39
64525,Ordering Positive Decimals,1.0,9
64525,Ordering Real Numbers,0.7058823529411765,34
64525,Parallel and Perpendicular Lines,0.0,2
64525,Pattern Finding,1.0,2
64525,Percent Of,0.8333333333333334,18
64525,Perimeter of a Polygon,1.0,2
64525,Point Plotting,1.0,1
64525,Prime Number,0.7142857142857143,7
64525,Probability Compound,0.8,15
64525,Probability Simple,1.0,7
64525,Proportion,0.9166666666666666,24
64525,Pythagorean Theorem,0.6666666666666666,33
64525,Range,1.0,4
64525,Rounding,1.0,3
64525,Scale Factor,0.8,5
64525,Scatter Plot,1.0,2
64525,Scientific Notation,1.0,10
64525,Similar Figures,0.75,20
64525,Square Root,0.7605633802816901,71
64525,Stem and Leaf Plot,1.0,3
64525,Substitution,1.0,1
64525,Subtraction Whole Numbers,1.0,1
64525,Sum of Interior Angles Figures with more than 3 sides,1.0,2
64525,Sum of Interior Angles Triangle,1.0,1
64525,Supplementary Angles,1.0,1
64525,Table,1.0,12
64525,Unit Conversion Within a System,0.8333333333333334,6
64525,Unit Rate,0.875,8
64525,Venn Diagram,0.8333333333333334,12
64527,Box and Whisker,1.0,3
64527,Circle Graph,0.0,4
64527,Estimation,0.0,2
64527,Finding Percents,0.0,2
64527,Histogram as Table or Graph,0.14285714285714285,7
64527,Median,0.0,3
64527,Ordering Integers,1.0,1
64527,Pattern Finding,1.0,1
64527,Perimeter of a Polygon,0.0,5
64527,Probability Simple,1.0,1
64527,Properties and Classification Triangles,0.0,2
64527,Proportion,0.0,3
64527,Pythagorean Theorem,0.0,1
64527,Range,0.5,2
64527,Square Root,1.0,1
64527,Table,0.5,2
64530,Angles on Parallel Lines Cut by a Transversal,1.0,1
64530,Box and Whisker,1.0,3
64530,Circle Graph,1.0,1
64530,Division Fractions,0.0,1
64530,Equivalent Fractions,0.0,1
64530,Estimation,1.0,1
64530,Finding Percents,1.0,1
